position,cutsites
-250,0.09499761704329877
-249,0.09799165455689757
-248,0.10195709393590031
-247,0.09710636737581226
-246,0.1020675359151238
-245,0.10018305586931728
-244,0.10118963190757703
-243,0.10257556755392302
-242,0.10639218344150139
-241,0.10075523134144966
-240,0.10579270798714832
-239,0.10646892787718791
-238,0.110833471888768
-237,0.1077539108972996
-236,0.1103312039557702
-235,0.105642525346735
-234,0.1075709551706453
-233,0.10488527804263127
-232,0.10933754451401048
-231,0.10811626182669518
-230,0.10401830990384395
-229,0.11124226826586794
-228,0.10604297681251093
-227,0.11033031993217499
-226,0.10490399548251743
-225,0.10329536822676107
-224,0.1036853291142245
-223,0.10702303373194404
-222,0.10568897050156391
-221,0.09498505630787085
-220,0.09470603539166461
-219,0.10000167252550941
-218,0.09697017054048727
-217,0.10407078633501428
-216,0.09725966443284816
-215,0.09602989927325996
-214,0.09410155371892577
-213,0.09289948512536525
-212,0.09131228146933497
-211,0.08734696381112748
-210,0.0900579834514388
-209,0.08279534031195564
-208,0.08844152024461556
-207,0.08214795742519534
-206,0.07774228131866731
-205,0.08287041898413736
-204,0.07770755698482242
-203,0.07870386874758305
-202,0.07508531077371203
-201,0.0743026362862228
-200,0.07516026063904771
-199,0.06968658431925671
-198,0.06823033583200701
-197,0.0685460738110812
-196,0.07088793659889035
-195,0.07056059326669278
-194,0.06568856306254484
-193,0.060353759977904486
-192,0.06296134886019436
-191,0.06095005975218294
-190,0.05968919039276583
-189,0.06307432462472028
-188,0.059321268234841046
-187,0.05943195041640522
-186,0.06335616465437219
-185,0.06339220013248655
-184,0.05833012250959488
-183,0.0552695590153888
-182,0.0552949379007299
-181,0.05187969656129702
-180,0.05247606459120403
-179,0.05420415021773212
-178,0.050800167454588284
-177,0.049420427129193166
-176,0.05173534775131672
-175,0.05524338532492739
-174,0.055108762456638025
-173,0.0541089696602101
-172,0.049383990096904064
-171,0.05327361055144843
-170,0.05088177470603216
-169,0.05253633826901649
-168,0.049184693275344034
-167,0.05088923569023829
-166,0.05000928648830265
-165,0.05369695651140497
-164,0.05405173450603105
-163,0.05442284457144632
-162,0.05131735795753334
-161,0.05261978676181826
-160,0.052408477079164045
-159,0.05466148692207383
-158,0.051339693198487926
-157,0.04781429257527142
-156,0.057093413811225256
-155,0.0551914233771043
-154,0.05436240014900708
-153,0.055563388983036074
-152,0.05062804844400268
-151,0.05553088129021682
-150,0.05358264450042795
-149,0.05399813960838073
-148,0.060750566527124815
-147,0.05156614230793433
-146,0.0602524644490621
-145,0.058163106897685425
-144,0.05454778582616885
-143,0.06308487375958767
-142,0.05734999829047867
-141,0.05590814169172488
